name,state,address,phone,type,lat,lon,photo,opening_event,
Boycott Ctioyen,Île-de-France,,,office,48.8864392,2.2648041,,https://www.facebook.com/boycottcitoyen/,
UPLC France,France,,,office,46.227638,2.213749,,https://www.facebook.com/groups/282323685828662/,
Pau,Nouvelle-Aquitaine,,,office,43.2951,-0.370797,,https://www.facebook.com/groups/1893141780777459/,
Périgueux,,,,office,45.184029,0.7211149,,https://www.facebook.com/groups/171307823759444/,
Perpignan,,,,office,42.6886591,2.8948332,,https://www.facebook.com/groups/168738707368539/,
Poitiers,,,,office,46.580224,0.340375,,https://www.facebook.com/groups/955005834699731/,
Pontarlier,,,,office,46.9041039,6.354242,,https://www.facebook.com/groups/1587187644761201/,
Reims,Grand-Est,,,office,49.258329,4.031696,,https://www.facebook.com/groups/556380481460070/,
Rennes,Bretagne,,,office,48.117266,-1.6777926,,https://www.facebook.com/groups/284293252174812/,
Roanne,,,,office,46.034432,4.072695,,https://www.facebook.com/groups/693708357651765/,
Rouen,Normandie,,,office,49.443232,1.099971,,https://www.facebook.com/groups/271172083511190/,
Saint-Brieuc,Bretagne,,,office,48.51418,-2.765835,,https://www.facebook.com/groups/327948451105499/,
Saint Chaptes,,,,office,43.970446,4.278316,,https://www.facebook.com/groups/1773362836124174,
Saint Claude,,,,office,46.387405,5.8677659,,https://www.facebook.com/groups/406996659835767/,
Saint Etienne,,,,office,45.439695,4.3871779,,https://www.facebook.com/groups/2170379969703832/,
Saint-Malo,Bretagne,,,office,48.649337,-2.025674,,https://www.facebook.com/groups/237189250288743/,
Saint-Avold,,,,office,49.104408,6.705793,,https://www.facebook.com/groups/283400955613132/,
Saint Quentin en Yvelines,,,,office,48.7700557,2.0249544,,https://www.facebook.com/groups/2121948941456507/,
Saintes,,,,office,45.744175,-0.633389,,https://www.facebook.com/groups/1893290617425388/,
Senlis,,,,office,49.205164,2.583212,,https://www.facebook.com/groups/2343161679045009/,
Strasbourg,Grand-Est,,,office,48.5734053,7.7521113,,https://www.facebook.com/groups/334921663749448/,
Suresnes,France,,,office,48.869798,2.219033,,https://www.facebook.com/groups/2189024751167774/,
Toulon,,,,office,43.124228,5.928,,https://www.facebook.com/groups/267519697231051/,
Toulouse,Occitanie,,,office,43.604652,1.444209,,https://www.facebook.com/groups/302720110320038/,
Tours,Centre,,,office,47.394144,0.68484,,https://www.facebook.com/groups/326649817910562/,
Uzes Pont du Gard,,,,office,44.0022324,4.4161714,,https://www.facebook.com/groups/ilestencoretempsuzes/,
Versailles,Île-de-France,,,office,48.8048649,2.1203554,,https://www.facebook.com/groups/475631972942937/,
Valence,,,,office,47.9237775,-122.2547372,,https://www.facebook.com/groups/705006886532676/,
Vannes,France,,,office,47.658236,-2.760847,,https://www.facebook.com/groups/267332117450935/,
Basse-Terre,"Guadeloupe, France",,,office,16.0144526,-61.7064109,,https://www.facebook.com/groups/1605426089756953,
La Réunion,,,,office,-21.115141,55.536384,,https://www.facebook.com/groups/359957054744244/,
Martinique,,,,office,14.641528,-61.024174,,https://www.facebook.com/groups/1833814846733076,
